/home/zck7060/anaconda3/envs/mujoco/lib/python3.7/site-packages/tianshou/env/pettingzoo_env.py:15: DeprecationWarning: You are using PettingZoo 1.12.0. Future tianshou versions may not support PettingZoo<1.21.0. Consider upgrading your PettingZoo version.
  f"Consider upgrading your PettingZoo version.", DeprecationWarning
Episode 125, Reward 111.1
Episode 125, Reward 109.35
Episode 125, Reward -9
Episode 126, Reward -7
Episode 126, Reward 7.4
Episode 126, Reward 6.0
Episode 126, Reward 6.0
Episode 126, Reward 6.35
Episode 127, Reward 54.05
Episode 127, Reward 112.7
Episode 127, Reward -33
Episode 127, Reward 113.7
Episode 127, Reward 12.0
Episode 128, Reward 106.0
Episode 128, Reward -63
Episode 128, Reward 6.0
Episode 128, Reward 12.75
Episode 128, Reward 6.7
Episode 129, Reward 112.0
Episode 129, Reward 6.35
Episode 129, Reward 20.05
Episode 129, Reward 12.0
Episode 129, Reward 7.4
Episode 130, Reward 7.4
Episode 130, Reward 114.4
Episode 130, Reward -78
Episode 130, Reward -79
Episode 130, Reward 12.0
Episode 131, Reward 12.0
Episode 131, Reward 13.35
Episode 131, Reward 13.35
Episode 131, Reward 14.05
Episode 131, Reward 16.0
Episode 132, Reward 49.4
Episode 132, Reward 49.4
Episode 132, Reward 13.0
Episode 132, Reward 50.099999999999994
Episode 132, Reward 117.35
Episode 133, Reward 0.0
Episode 133, Reward 12.0
Episode 133, Reward 112.0
Episode 133, Reward 106.0
Episode 133, Reward -37
Episode 134, Reward 14.1
Episode 134, Reward 119.0
Episode 134, Reward 117.0
Episode 134, Reward 18.7
Episode 134, Reward 124.7
Episode 135, Reward 113.05
Episode 135, Reward 105.05
Episode 135, Reward 121.0
Episode 135, Reward 62
Episode 135, Reward -69
Episode 136, Reward 12.05
Episode 136, Reward 24.0
Episode 136, Reward 24.7
Episode 136, Reward -22
Episode 136, Reward 12.35
Episode 137, Reward -41
Episode 137, Reward 112.0
Episode 137, Reward 91
Episode 137, Reward 111.35
Episode 137, Reward -52
Episode 138, Reward 109.75
Episode 138, Reward 0
Episode 138, Reward 109.4
Episode 138, Reward 6.35
Episode 138, Reward 107.0
Episode 139, Reward -41
Episode 139, Reward 13.4
Episode 139, Reward 24.35
Episode 139, Reward 19.1
Episode 139, Reward -18
Episode 140, Reward 13.4
Episode 140, Reward 24.35
Episode 140, Reward 15.0
Episode 140, Reward -19
Episode 140, Reward -38
Episode 141, Reward 1.0499999999999998
Episode 141, Reward 0.0
Episode 141, Reward 1.75
Episode 141, Reward 0.35
Episode 141, Reward 5.0
Episode 142, Reward 11.7
Episode 142, Reward 45.349999999999994
Episode 142, Reward 9.4
Episode 142, Reward 5.05
Episode 142, Reward 9.75
Episode 143, Reward -15
Episode 143, Reward -34
Episode 143, Reward 5.0
Episode 143, Reward 6.0
Episode 143, Reward 6.0
Episode 144, Reward 108.0
Episode 144, Reward 6.0
Episode 144, Reward 6.0
Episode 144, Reward 6.35
Episode 144, Reward 6.0
Episode 145, Reward 10.7
Episode 145, Reward 11.0
Episode 145, Reward 9.7
Episode 145, Reward 13.1
Episode 145, Reward 10.35
Episode 146, Reward 0.0
Episode 146, Reward 3.7
Episode 146, Reward 0.0
Episode 146, Reward 5.0
Episode 146, Reward 3.7
Episode 147, Reward 17.0
Episode 147, Reward 13.75
Episode 147, Reward 12.0
Episode 147, Reward 24.4
Episode 147, Reward 18.35
Episode 148, Reward 12.0
Episode 148, Reward 105.4
Episode 148, Reward 6.7
Episode 148, Reward 104.35
Episode 148, Reward 12.7
Episode 149, Reward 107.35
Episode 149, Reward 113.05
Episode 149, Reward 108.75
Episode 149, Reward 113.0
Episode 149, Reward 6.0
Episode 150, Reward 7.4
Episode 150, Reward 0.0
Episode 150, Reward 1.4
Episode 150, Reward 1.75
Episode 150, Reward 0.35
Episode 151, Reward 6.0
Episode 151, Reward 12.35
Episode 151, Reward 12.35
Episode 151, Reward 6.7
Episode 151, Reward 24.0
Episode 152, Reward 118.35
Episode 152, Reward 19.75
Episode 152, Reward 13.4
Episode 152, Reward 126.05
Episode 152, Reward -40
Episode 153, Reward 6.0
Episode 153, Reward 0.0
Episode 153, Reward 13.05
Episode 153, Reward 6.35
Episode 153, Reward 0.35
Episode 154, Reward 1.4
Episode 154, Reward 0.35
Episode 154, Reward 0.7
Episode 154, Reward 1.4
Episode 154, Reward 7.7
Episode 155, Reward 18.0
Episode 155, Reward 13.4
Episode 155, Reward 0.35
Episode 155, Reward 6.7
Episode 155, Reward 15.7
Episode 156, Reward -39
Episode 156, Reward -39
Episode 156, Reward 113.35
Episode 156, Reward 113.7
Episode 156, Reward 12.7
Episode 157, Reward -32
Episode 157, Reward 113.05
Episode 157, Reward 112.0
Episode 157, Reward 12.35
Episode 157, Reward 7.05
Episode 158, Reward 113.0
Episode 158, Reward -56
Episode 158, Reward 57
Episode 158, Reward 115.35
Episode 158, Reward 221.1
Episode 159, Reward 13.0
Episode 159, Reward 13.0
Episode 159, Reward 112.7
Episode 159, Reward 17.7
Episode 159, Reward 1.0499999999999998
Episode 160, Reward 6.0
Episode 160, Reward 0.35
