/home/zck7060/anaconda3/envs/mujoco/lib/python3.7/site-packages/tianshou/env/pettingzoo_env.py:15: DeprecationWarning: You are using PettingZoo 1.12.0. Future tianshou versions may not support PettingZoo<1.21.0. Consider upgrading your PettingZoo version.
  f"Consider upgrading your PettingZoo version.", DeprecationWarning
Episode 87, Reward 19.0
Episode 87, Reward 19.35
Episode 88, Reward -36
Episode 88, Reward 7.75
Episode 88, Reward 2
Episode 88, Reward 112.0
Episode 88, Reward -47
Episode 89, Reward 12.35
Episode 89, Reward 13.75
Episode 89, Reward 119.75
Episode 89, Reward -35
Episode 89, Reward 13.0
Episode 90, Reward 7
Episode 90, Reward 118.0
Episode 90, Reward -42
Episode 90, Reward 13.0
Episode 90, Reward 13.05
Episode 91, Reward 113.0
Episode 91, Reward 9
Episode 91, Reward 8.05
Episode 91, Reward 7.0
Episode 91, Reward 7.0
Episode 92, Reward 48.349999999999994
Episode 92, Reward 7.35
Episode 92, Reward 7.0
Episode 92, Reward 7.35
Episode 92, Reward 7.0
Episode 93, Reward 12.0
Episode 93, Reward -52
Episode 93, Reward 1.0499999999999998
Episode 93, Reward 7.05
Episode 93, Reward 13.05
Episode 94, Reward 14.4
Episode 94, Reward 14.75
Episode 94, Reward 19.0
Episode 94, Reward 25.35
Episode 94, Reward -21
Episode 95, Reward 0.0
Episode 95, Reward 6.0
Episode 95, Reward 18.35
Episode 95, Reward -76
Episode 95, Reward 12.0
Episode 96, Reward 123.0
Episode 96, Reward 124.75
Episode 96, Reward -19
Episode 96, Reward 18.0
Episode 96, Reward 123.75
Episode 97, Reward 124.4
Episode 97, Reward -16
Episode 97, Reward 19.05
Episode 97, Reward 123.4
Episode 97, Reward 120.05
Episode 98, Reward -68
Episode 98, Reward 12.35
Episode 98, Reward 1.4
Episode 98, Reward 6.0
Episode 98, Reward -40
Episode 99, Reward 13.35
Episode 99, Reward 7.7
Episode 99, Reward 13.35
Episode 99, Reward -1
Episode 99, Reward 8.4
Episode 100, Reward 12.0
Episode 100, Reward 19.4
Episode 100, Reward -1
Episode 100, Reward 18.35
Episode 100, Reward 4
Episode 101, Reward 2.0999999999999996
Episode 101, Reward 41.699999999999996
Episode 101, Reward 0.0
Episode 101, Reward 48.699999999999996
Episode 101, Reward 116.05
Episode 102, Reward 6.7
Episode 102, Reward 7.4
Episode 102, Reward 6.7
Episode 102, Reward 112.7
Episode 102, Reward 13.75
Episode 103, Reward 18.0
Episode 103, Reward -42
Episode 103, Reward 123.4
Episode 103, Reward 12.0
Episode 103, Reward 6.35
Episode 104, Reward -37
Episode 104, Reward 122.35
Episode 104, Reward 12.35
Episode 104, Reward 6.35
Episode 104, Reward 6.0
Episode 105, Reward 127.0
Episode 105, Reward 18.35
Episode 105, Reward 12.35
Episode 105, Reward 12.0
Episode 105, Reward 13.05
Episode 106, Reward 18.0
Episode 106, Reward 7.05
Episode 106, Reward 12.35
Episode 106, Reward 19.05
Episode 106, Reward -53
Episode 107, Reward 13.05
Episode 107, Reward 12.0
Episode 107, Reward 18.7
Episode 107, Reward 6.0
Episode 107, Reward 21.7
Episode 108, Reward 19.35
Episode 108, Reward -64
Episode 108, Reward 153.35
Episode 108, Reward -64
Episode 108, Reward 18.35
Episode 109, Reward 12.0
Episode 109, Reward 41.699999999999996
Episode 109, Reward 61.099999999999994
Episode 109, Reward 12.7
Episode 109, Reward 113.35
Episode 110, Reward 1.75
Episode 110, Reward 127.7
Episode 110, Reward 12.0
Episode 110, Reward 119.0
Episode 110, Reward 13.05
